Season,Covid,State,WeekTime,Time,ElectricityDemand,RegionalReferencePrice
Autumn,No,Queensland,Weekend,03:30:00,5188.269633027523,50.232752293577974
Autumn,No,Queensland,Weekend,04:00:00,5178.771743119264,50.14513761467892
Autumn,No,Queensland,Weekend,04:30:00,5197.799449541287,50.335688073394486
Autumn,No,Queensland,Weekend,05:00:00,5218.707981651378,49.525137614678926
Autumn,No,Queensland,Weekend,05:30:00,5285.919266055049,51.61422018348624
Autumn,No,Queensland,Weekend,06:00:00,5342.801743119265,52.1311009174312
Autumn,No,Queensland,Weekend,06:30:00,5421.129357798164,55.587431192660546
Autumn,No,Queensland,Weekend,07:00:00,5506.501926605502,58.6188990825688
Autumn,No,Queensland,Weekend,07:30:00,5642.870917431192,59.09385321100916
Autumn,No,Queensland,Weekend,08:00:00,5676.683119266055,58.301376146789
Autumn,No,Queensland,Weekend,08:30:00,5732.937706422017,61.27045871559635
Autumn,No,Queensland,Weekend,09:00:00,5756.503027522935,65.32431192660553
Autumn,No,Queensland,Weekend,09:30:00,5761.8587155963305,68.83614678899083
Autumn,No,Queensland,Weekend,10:00:00,5731.916697247705,62.85211009174311
Autumn,No,Queensland,Weekend,10:30:00,5717.0423853211005,59.55266055045874
Autumn,No,Queensland,Weekend,11:00:00,5701.086146788992,55.63302752293578
Autumn,No,Queensland,Weekend,11:30:00,5681.8032110091735,53.604862385321084
Autumn,No,Queensland,Weekend,12:00:00,5694.286055045869,53.539724770642195
Autumn,No,Queensland,Weekend,12:30:00,5704.915504587157,54.6024770642202
Autumn,No,Queensland,Weekend,13:00:00,5745.1023853211,55.89155963302752
Autumn,No,Queensland,Weekend,13:30:00,5796.172018348624,57.16834862385321
Autumn,No,Queensland,Weekend,14:00:00,5876.375137614681,61.48422018348624
Autumn,No,Queensland,Weekend,14:30:00,5962.994495412844,62.90220183486235
Autumn,No,Queensland,Weekend,15:00:00,6062.9251376146785,64.91779816513765
Autumn,No,Queensland,Weekend,15:30:00,6198.325229357801,72.78706422018344
Autumn,No,Queensland,Weekend,16:00:00,6350.477431192657,75.65642201834862
Autumn,No,Queensland,Weekend,16:30:00,6517.232568807337,96.46073394495414
Autumn,No,Queensland,Weekend,17:00:00,6708.122477064222,90.40899082568805
Autumn,No,Queensland,Weekend,17:30:00,6861.243119266055,89.7448623853211
Autumn,No,Queensland,Weekend,18:00:00,6961.4482568807325,106.13302752293573
Autumn,No,Queensland,Weekend,18:30:00,7025.538073394496,105.07110091743118
Autumn,No,Queensland,Weekend,19:00:00,7053.815412844037,120.83201834862389
Autumn,No,Queensland,Weekend,19:30:00,6913.363394495416,79.83027522935781
Autumn,No,Queensland,Weekend,20:00:00,6815.302385321101,78.25201834862384
Autumn,No,Queensland,Weekend,20:30:00,6710.273853211009,79.75844036697245
Autumn,No,Queensland,Weekend,21:00:00,6529.212752293581,69.64183486238532
Autumn,No,Queensland,Weekend,21:30:00,6401.753761467893,66.60422018348625
Autumn,No,Queensland,Weekend,22:00:00,6254.099449541283,61.79339449541283
Autumn,No,Queensland,Weekend,22:30:00,6160.343944954129,70.66880733944957
